Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,,Justification
coder-gate,com.github.codergate,CoderGateApplicationTests,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,They are spring boot test classes.
coder-gate,com.github.codergate,CoderGateApplicationTests,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate,CorsConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,This class handles CORS configuration for frontend
coder-gate,com.github.codergate.utils,PullRequestUtil,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: getFalseThresholdKeys,,this is a utility class providing utility methods to the service.
coder-gate,com.github.codergate.utils,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CREATION; ACTION; DELETION; REMOVAL; ADDITION; PUSH_EVENT; PULL_REQUEST; BASE_API; USER_DIR; FRONT_END_URL,,"Constants class, used directly by the entire project"
coder-gate,com.github.codergate.controllers,GithubOAuthController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,They are Restful controller
coder-gate,com.github.codergate.controllers,DashboardController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.controllers,BranchController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.controllers,EventController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
coder-gate,com.github.codergate.controllers,InsightController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
