Project Name,Package Name,Type Name,Method Name,Implementation Smell,Justification,Cause of the Smell,Method start line no
coder-gate,com.github.codergate.utils,WebHookListenerUtilTest,testRejectPullRequest,Long Statement,Input needed to be of long length to assert,"The length of the statement ""return argument.getMessage().equals(""Sorry` this pull request cannot be merged at this time."") && argument.getState().equals(""closed"");"" is 135.",40
coder-gate,com.github.codergate.utils,WebHookListenerUtilTest,matches,Long Statement,Input needed to be of long length to assert,"The length of the statement ""return argument.getMessage().equals(""Sorry` this pull request cannot be merged at this time."") && argument.getState().equals(""closed"");"" is 135.",49
coder-gate,com.github.codergate.utils,InsightUtilTest,testGetCodeSmellData,Long Statement,Input needed to be of long length to assert,"The length of the statement ""when(analysisRepository.findAnalysisByRepositoryAndBranchId(eq(Integer.parseInt(repoId))`eq(branchId))).thenReturn(analysisList);"" is 129.",51
coder-gate,com.github.codergate.utils,InsightUtilTest,testGetArchSmellData,Long Statement,Input needed to be of long length to assert,"The length of the statement ""when(analysisRepository.findAnalysisByRepositoryAndBranchId(eq(Integer.parseInt(repoId))`eq(branchId))).thenReturn(analysisList);"" is 129.",67
coder-gate,com.github.codergate.utils,InsightUtilTest,testGetDesignSmellData,Long Statement,Input needed to be of long length to assert,"The length of the statement ""when(analysisRepository.findAnalysisByRepositoryAndBranchId(eq(Integer.parseInt(repoId))`eq(branchId))).thenReturn(analysisList);"" is 129.",81
coder-gate,com.github.codergate.utils,InsightUtilTest,testGetImplementationSmellData,Long Statement,Input needed to be of long length to assert,"The length of the statement ""when(analysisRepository.findAnalysisByRepositoryAndBranchId(eq(Integer.parseInt(repoId))`eq(branchId))).thenReturn(analysisList);"" is 129.",95
coder-gate,com.github.codergate.utils,InsightUtilTest,testGetDuplicatedLinesData,Long Statement,Input needed to be of long length to assert,"The length of the statement ""when(analysisRepository.findAnalysisByRepositoryAndBranchId(eq(Integer.parseInt(repoId))`eq(branchId))).thenReturn(analysisList);"" is 129.",109
coder-gate,com.github.codergate.utils,WebHookListenerUtil,commentOnPullRequest,Long Parameter List,Input needed to be of long length to assert,The method has 7 parameters. ,32
coder-gate,com.github.codergate.utils,PullRequestUtil,getFalseThresholdKeys,Complex Method,"Similar code block needed to stay in same method, contains if statements",Cyclomatic complexity of the method is 16,17
coder-gate,com.github.codergate.utils,JwtUtils,generateJwtToken,Long Statement,Standard JWTS implementation,"The length of the statement ""token=Jwts.builder().setIssuedAt(new Date()).setExpiration(new Date(System.currentTimeMillis() + TEN_MINUTES_EXPIRATION_BUFFER)).setIssuer(appId).signWith(SignatureAlgorithm.RS256`privKey).compact();"" is 199.",30
coder-gate,com.github.codergate.controllers,RepositoryControllerTest,testFetchRepositoriesWithValidUserId,Long Statement,Input needed to be of long length to assert,"The length of the statement ""MvcResult result=mockMvc.perform(get(urlTemplate`userId)).andExpect(status().isOk()).andExpect(content().contentType(MediaType.APPLICATION_JSON)).andReturn();"" is 158.",46
coder-gate,com.github.codergate.controllers,RepositoryControllerTest,testFetchRepositoriesWithNoRepositoriesForValidUserId,Long Statement,Input needed to be of long length to assert,"The length of the statement ""MvcResult result=mockMvc.perform(get(urlTemplate`userId)).andExpect(status().isOk()).andExpect(content().contentType(MediaType.APPLICATION_JSON)).andReturn();"" is 158.",73
coder-gate,com.github.codergate.controllers,WebhookListenerControllerTest,testWebhookListenerWhenStatusIs200,Long Statement,Input needed to be of long length to assert,"The length of the statement ""MvcResult result=mockMvc.perform(post(""/"").contentType(MediaType.APPLICATION_JSON).content(objectMapper.writeValueAsString(payload))).andExpect(status().isOk()).andReturn();"" is 173.",39
coder-gate,com.github.codergate.controllers,WebhookListenerControllerTest,testWebhookListenerWhenPayloadHasMissingActionField,Long Statement,Input needed to be of long length to assert,"The length of the statement ""mockMvc.perform(post(""/"").contentType(MediaType.APPLICATION_JSON).content(objectMapper.writeValueAsString(payload))).andExpect(status().isOk());"" is 144.",52
coder-gate,com.github.codergate.controllers,ThresholdControllerTest,testPostThresholdWithNullThresholdDTO,Long Statement,Input needed to be of long length to assert,"The length of the statement ""MvcResult mvcResult=mockMvc.perform(post(""/threshold/{repoID}""`repositoryID).contentType(MediaType.APPLICATION_JSON).content(jsonRequest)).andReturn();"" is 151.",98
